filename	ns	tau	cov	pr	rc	f
ipr_submission.tsv	biological_process	0.78000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.79000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.80000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.81000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.82000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.83000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.84000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.85000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.86000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.87000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.88000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.89000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.90000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.91000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.92000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.93000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.94000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.95000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.96000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.97000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.98000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	biological_process	0.99000	0.71200	0.77799	0.22625	0.35056
ipr_submission.tsv	molecular_function	0.01000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.02000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.03000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.04000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.05000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.06000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.07000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.08000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.09000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.10000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.11000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.12000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.13000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.14000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.15000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.16000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.17000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.18000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.19000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.20000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.21000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.22000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.23000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.24000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.25000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.26000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.27000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.28000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.29000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.30000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.31000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.32000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.33000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.34000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.35000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.36000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.37000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.38000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.39000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.40000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.41000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.42000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.43000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.44000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.45000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.46000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.47000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.48000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.49000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.50000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.51000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.52000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.53000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.54000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.55000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.56000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.57000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.58000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.59000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.60000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.61000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.62000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.63000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.64000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.65000	0.91200	0.77046	0.51614	0.61816
